# pid_algorithm_sim v1
# alg: old
# set_pid: 2000 25 175000
# noise: 33, tau_max: 0.4, inertia: 5.4e-06, coulomb: 0.022, static: 0.13, viscous: 0.0009, load: 0, seed: 4
# move_sent_at_s: 1.000000
t_s,error,p_term,i_term,d_term,output,desired,actual,voltage
0.048000,8,16000,-900,-49212,-17,0,-8,1
0.048128,-19,-38000,2375,-218720,-125,0,19,1
0.048256,-46,-92000,3275,-371824,-225,0,46,1
0.048384,23,46000,6275,0,25,0,-23,0
0.048512,-7,-14000,7125,-169508,-87,0,7,1
0.048640,21,42000,7850,-10936,19,0,-21,0
0.048768,10,20000,8200,-71084,-21,0,-10,1
0.048896,-11,-22000,10925,-196848,-102,0,11,1
0.049024,45,90000,13300,114828,106,0,-45,0
0.049152,-39,-78000,11800,-339016,-198,0,39,1
0.049280,15,30000,12875,-38276,2,0,-15,0
0.049408,-28,-56000,12775,-273400,-155,0,28,1
0.049536,-44,-88000,11725,-355420,-211,0,44,1
0.049664,34,68000,10800,98424,86,0,-34,0
0.049792,-18,-36000,11200,-196848,-109,0,18,1
0.049920,-38,-76000,9425,-295272,-177,0,38,1
0.050048,-20,-40000,11925,-213252,-118,0,20,1
0.050176,25,50000,14950,21872,42,0,-25,0
0.050304,-28,-56000,15750,-278868,-156,0,28,1
0.050432,-34,-68000,13500,-289804,-169,0,34,1
0.050560,-50,-100000,11900,-366356,-222,0,50,1
0.050688,1,2000,9775,-60148,-24,0,-1,1
0.050816,11,22000,7050,10936,19,0,-11,0
0.050944,-43,-86000,9525,-317144,-193,0,43,1
0.051072,-22,-44000,7775,-191380,-112,0,22,1
0.051200,72,144000,10225,322612,232,0,-72,0
0.051328,6,12000,11350,-54680,-16,0,-6,1
0.051456,-9,-18000,12725,-147636,-75,0,9,1
0.051584,-13,-26000,13125,-169508,-90,0,13,1
0.051712,12,24000,14800,-38276,0,0,-12,0
0.051840,-12,-24000,16400,-180444,-92,0,12,1
0.051968,-24,-48000,15800,-235124,-131,0,24,1
0.052096,-68,-136000,10425,-442908,-278,0,68,2
0.052224,-5,-10000,11425,-98424,-48,0,5,1
0.052352,26,52000,13275,65616,63,0,-26,0
0.052480,14,28000,14650,-16404,12,0,-14,0
0.052608,-14,-28000,12475,-158572,-86,0,14,1
0.052736,35,70000,13850,103892,91,0,-35,0
0.052864,15,30000,12600,0,20,0,-15,0
0.052992,-5,-10000,14850,-125764,-60,0,5,1
0.053120,33,66000,17275,71084,75,0,-33,0
0.053248,15,30000,19225,-43744,2,0,-15,0
0.053376,-4,-8000,17600,-131232,-60,0,4,1
0.053504,21,42000,21100,-10936,25,0,-21,0
0.053632,78,156000,22775,306208,236,0,-78,0
0.053760,-21,-42000,22500,-246060,-130,0,21,1
0.053888,-45,-90000,23325,-382760,-220,0,45,1
0.054016,-22,-44000,20650,-229656,-124,0,22,1
0.054144,14,28000,19925,-16404,15,0,-14,0
0.054272,46,92000,21175,164040,135,0,-46,0
0.054400,-49,-98000,20000,-360888,-215,0,49,1
0.054528,42,84000,25050,125764,114,0,-42,0
0.054656,-53,-106000,25150,-410100,-240,0,53,1
0.054784,13,26000,26900,-43744,4,0,-13,0
0.054912,-25,-50000,26500,-251528,-135,0,25,1
0.055040,30,60000,28275,43744,64,0,-30,0
0.055168,30,60000,30675,32808,60,0,-30,0
0.055296,2,4000,31125,-120296,-42,0,-2,1
0.055424,-49,-98000,31000,-399164,-228,0,49,1
0.055552,34,68000,31150,76552,85,0,-34,0
0.055680,50,100000,29500,180444,151,0,-50,0
0.055808,2,4000,25975,-71084,-21,0,-2,1
0.055936,55,110000,27150,218720,173,0,-55,0
0.056064,14,28000,27100,-10936,21,0,-14,0
0.056192,-25,-50000,27350,-229656,-124,0,25,1
0.056320,-16,-32000,28250,-185912,-93,0,16,1
0.056448,35,70000,29300,92956,93,0,-35,0
0.056576,-4,-8000,27450,-114828,-47,0,4,1
0.056704,54,108000,29650,196848,163,0,-54,0
0.056832,-7,-14000,29975,-147636,-65,0,7,1
0.056960,-4,-8000,30525,-136700,-56,0,4,1
0.057088,29,58000,30700,43744,64,0,-29,0
0.057216,-51,-102000,30325,-399164,-230,0,51,1
0.057344,31,62000,33850,43744,68,0,-31,0
0.057472,1,2000,35575,-136700,-49,0,-1,1
0.057600,50,100000,38000,131232,131,0,-50,0
0.057728,-64,-128000,37375,-497588,-288,0,64,2
0.057856,2,4000,39800,-136700,-46,0,-2,1
0.057984,14,28000,39575,-60148,3,0,-14,0
0.058112,-43,-86000,35825,-344484,-193,0,43,1
0.058240,-34,-68000,33400,-273400,-151,0,34,1
0.058368,-50,-100000,32900,-360888,-209,0,50,1
0.058496,-35,-70000,34050,-278868,-154,0,35,1
0.058624,40,80000,35675,131232,120,0,-40,0
0.058752,35,70000,36575,98424,100,0,-35,0
0.058880,-24,-48000,35625,-224188,-116,0,24,1
0.059008,-24,-48000,35275,-224188,-116,0,24,1
0.059136,13,26000,35950,-16404,22,0,-13,0
0.059264,-49,-98000,35250,-360888,-207,0,49,1
0.059392,34,68000,36075,103892,101,0,-34,0
0.059520,-8,-16000,36675,-136700,-57,0,8,1
0.059648,4,8000,37050,-71084,-13,0,-4,1
0.059776,13,26000,39375,-38276,13,0,-13,0
0.059904,-3,-6000,38550,-114828,-41,0,3,1
0.060032,-30,-60000,38425,-262464,-139,0,30,1
0.060160,17,34000,38700,0,35,0,-17,0
0.060288,9,18000,39900,-49212,4,0,-9,0
0.060416,-4,-8000,40075,-120296,-44,0,4,1
0.060544,37,74000,41350,103892,107,0,-37,0
0.060672,30,60000,44700,43744,72,0,-30,0
0.060800,-18,-36000,43575,-213252,-101,0,18,1
0.060928,-39,-78000,42350,-317144,-173,0,39,1
0.061056,-29,-58000,40900,-251528,-132,0,29,1
0.061184,2,4000,41650,-82020,-18,0,-2,1
0.061312,-2,-4000,42325,-114828,-38,0,2,1
0.061440,24,48000,40950,43744,64,0,-24,0
